,Date,Distance
0,2024-01-19,0.5456411666217388
1,2024-01-21,0.46051678169566446
2,2024-01-22,2.2024700155472674
3,2024-01-23,5.073514562608196
4,2024-01-24,4.536323526351779
5,2024-01-25,216.68509542445673
6,2024-01-26,176.2805852857596
7,2024-01-27,30.657270134283717
8,2024-01-28,2.9651928010623294
9,2024-01-29,1.256105304960761
10,2024-01-30,0.7675563458103876
11,2024-01-31,8.259635153813825
12,2024-02-01,3.5985367427814734
13,2024-02-02,16.22408670308516
14,2024-02-03,62.199725001199255
15,2024-02-04,42.41974610183883
16,2024-02-05,40.59865996814197
17,2024-02-06,44.661517021007654
18,2024-02-07,55.416098896656344
19,2024-02-08,59.8650314353909
20,2024-02-09,51.66349287189632
21,2024-02-10,58.8973134691303
22,2024-02-11,28.841235692219275
23,2024-02-12,57.396788670899916
24,2024-02-13,53.56699243317426
25,2024-02-14,58.58864185244301
26,2024-02-15,66.07100211051672
27,2024-02-16,53.86391666452431
28,2024-02-17,46.20074056785863
29,2024-02-18,58.693056114681916
30,2024-02-19,52.08285591784263
31,2024-02-20,54.87469661100885
32,2024-02-21,46.48435303243054
33,2024-02-22,31.29873883153201
34,2024-02-23,55.35138289715319
35,2024-02-24,45.54528669815623
36,2024-02-25,49.33887098685023
37,2024-02-26,42.35298866803734
38,2024-02-27,50.43103568573494
39,2024-02-28,60.23708553138708
40,2024-02-29,37.273014541867525
41,2024-03-01,65.25141073294226
42,2024-03-02,53.973685566651675
43,2024-03-03,47.39000929619599
44,2024-03-04,65.45521296755106
45,2024-03-05,49.79969483687643
46,2024-03-06,16.573531264842124
47,2024-03-08,24.182068417688814
48,2024-03-09,65.41342740394929
49,2024-03-10,53.24551218461331
50,2024-03-11,63.73859480611534
51,2024-03-12,54.15747515301171
52,2024-03-13,39.058719128854456
53,2024-03-14,48.75649062601253
54,2024-03-15,51.69247589122695
55,2024-03-16,60.152006960740884
56,2024-03-17,49.30667750066491
57,2024-03-18,62.24367165468189
58,2024-03-19,52.28057512662655
59,2024-03-20,50.8193457123329
60,2024-03-21,36.78008434059937
61,2024-03-22,69.2069501843719
62,2024-03-23,43.34637362679093
63,2024-03-24,68.5590001981755
64,2024-03-25,39.83649304654409
65,2024-03-26,58.16124943711209
66,2024-03-27,43.68934177034683
67,2024-03-28,52.186184353035976
68,2024-03-29,34.92290149095289
69,2024-03-30,45.82514372816031
70,2024-03-31,49.099063307642695
71,2024-04-01,55.8897353920501
72,2024-04-02,37.03297253825566
73,2024-04-03,44.106946114073345
74,2024-04-04,50.177504339770564
75,2024-04-05,20.259660283761537
76,2024-04-06,45.46347653329162
77,2024-04-07,55.8078175794857
78,2024-04-08,59.54881566588642
79,2024-04-09,50.355064863974064
80,2024-04-10,50.12271524061721
81,2024-04-11,40.592182996427816
82,2024-04-12,38.64568714960302
83,2024-04-13,53.94748562991253
84,2024-04-14,9.565049910877816
85,2024-04-15,1.1448775480962372
86,2024-04-16,2.2573913415036455
87,2024-04-17,29.780620512886937
88,2024-04-18,3.992196104945108
89,2024-04-19,42.80321025892284
90,2024-04-20,18.0864936057289
91,2024-04-21,3.6150341275984528
92,2024-04-22,0.27737115407089313
93,2024-04-23,36.6168098944976
94,2024-04-24,45.10007487841198
95,2024-04-25,47.286656583019116
96,2024-04-26,39.757483048773246
97,2024-04-27,28.208253943829497
98,2024-04-28,35.786340434387334
99,2024-04-29,53.539889120202126
